,id,host_since,host_response_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,weekly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,response_time_a few days or more,response_time_within a day,response_time_within a few hours,response_time_within an hour,property_Apartment,property_Bed & Breakfast,property_Boat,property_Bungalow,property_Cabin,property_Camper/RV,property_Chalet,property_Condominium,property_Earth House,property_House,property_Hut,property_Loft,property_Other,property_Tent,property_Tipi,property_Townhouse,property_Treehouse,property_Villa,room_Entire home/apt,room_Private room,room_Shared room,bed_Airbed,bed_Couch,bed_Futon,bed_Pull-out Sofa,bed_Real Bed,cancellation_flexible,cancellation_moderate,cancellation_no_refunds,cancellation_strict,cancellation_super_strict_30,,"""24-Hour Check-in""","""Air Conditioning""","""Buzzer/Wireless Intercom""","""Cable TV""","""Carbon Monoxide Detector""","""Elevator in Building""","""Family/Kid Friendly""","""Fire Extinguisher""","""First Aid Kit""","""Free Parking on Premises""","""Hair Dryer""","""Hot Tub""","""Indoor Fireplace""","""Laptop Friendly Workspace""","""Lock on Bedroom Door""","""Other pet(s)""","""Pets Allowed""","""Pets live on this property""","""Safety Card""","""Smoke Detector""","""Smoking Allowed""","""Suitable for Events""","""Washer / Dryer""","""Wheelchair Accessible""","""Wireless Internet""",Breakfast,Cat(s),Dog(s),Doorman,Dryer,Essentials,Gym,Hangers,Heating,Internet,Iron,Kitchen,Pool,Shampoo,TV,Washer
0,72635,2/4/2011,0,0,1.0,1,0,6,2.5,1.0,3.0,$300.00 ,0,0,0,1,$0.00 ,2,1,0,0,0,240,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1
1,5386323,2/17/2015,0,0,1.0,1,1,2,0.0,1.0,1.0,$99.00 ,1,"$1,000.00 ",$75.00 ,1,$0.00 ,3,1,29,59,89,364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,8826517,10/10/2015,0,0,2.0,1,1,2,1.5,1.0,1.0,$100.00 ,0,0,0,1,$0.00 ,1,1,30,60,90,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
3,8828616,10/10/2015,0,0,2.0,1,1,2,1.5,1.0,1.0,$100.00 ,0,0,0,1,$0.00 ,1,1,30,60,90,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
4,8536913,4/13/2015,98%,0,301.0,1,1,6,2.0,3.0,3.0,$599.00 ,0,0,$125.00 ,1,$0.00 ,2,1,27,57,87,358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1
5,8542056,9/23/2015,0,0,1.0,1,0,2,1.0,1.0,1.0,$100.00 ,0,0,0,1,$0.00 ,1,1,30,60,90,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0
6,6385948,5/13/2015,0,0,1.0,1,1,2,1.0,1.0,1.0,$54.00 ,0,0,$15.00 ,2,$25.00 ,1,1,0,0,26,301,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,8486890,1/19/2014,100%,0,1.0,1,1,2,1.0,1.0,1.0,$40.00 ,0,0,$25.00 ,2,$10.00 ,1,1,16,16,37,312,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1
8,8633580,9/29/2015,100%,0,2.0,1,0,6,1.0,1.0,3.0,$130.00 ,1,0,0,2,$50.00 ,1,1,29,50,80,355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1
9,5293632,3/22/2012,100%,1,1.0,1,1,2,1.0,1.0,1.0,$44.00 ,1,0,$10.00 ,2,$19.00 ,1,1,29,59,89,364,20,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1
